sourceSystem,sourceDirectory,sourceId,slug,name,typeLabel,excerpt,description,location,locationLabel,country,specialties,languages,formats,verified,listingStatus,reviewCount,rating,website,email,phone,organizationName,rawRole,rawOrganization,sourceLocation,city,stateProvince,postcode,sourceUrl,scrapedAt
apda-community,APDA Community,www.apdaparkinson.org/community/minnesota/,minnesota-find-resources-and-support-groups-support-groups,Find Resources & Support Groups,Referral Center,Imported from APDA Minnesota community resources.,"Welcome to the APDA Minnesota Chapter Register Today! Newly Diagnosed Resources Find a Group Here About the APDA Minnesota Chapter The APDA Minnesota Chapter works tirelessly every day to support and empower those in our community who are impacted by Parkinson’s disease (PD). We promote hope and optimism through innovative services, programs, education, and support, while also funding vital research. We are here to help you and your loved ones every step of the way. Services we provide: Educational programs and resources Support groups Community grants Exercise and wellness classes Information and referrals and much more","Minnesota, United States","Minnesota, United States",United States,"Welcome to the APDA Minnesota Chapter | Register Today! | About the APDA Minnesota Chapter | Services we provide: | Contact Information | Find Resources & Support Groups | Missed any of the APDA Minnesota Past programs? | Help Our Community | STAY CONNECTED | Join our email list to stay up to date on news, events, and resources near you.",,virtual,true,official_directory_import,0,0,https://www.apdaparkinson.org/community/minnesota/,atolefree@apdaparkinson.org,,APDA Minnesota,support-groups,American Parkinson Disease Association,"Minnesota, United States",,Minnesota,,https://www.apdaparkinson.org/community/minnesota/,2026-03-28T05:36:55.015Z
apda-community,APDA Community,www.apdaparkinson.org/community/missouri/,missouri-2026-apda-missouri-golf-classicview-event-details-resource-page,2026 APDA Missouri Golf ClassicView Event Details,Referral Center,Imported from APDA Missouri community resources.,"American Parkinson Disease Association Missouri Chapter APDA Midwest Parkinson’s ConferenceMonday, April 27thGet Details & Learn More Today! 2026 APDA Missouri Golf ClassicView Event Details Newly Diagnosed Resources","Missouri, United States","Missouri, United States",United States,"American Parkinson Disease Association Missouri Chapter | APDA Midwest Parkinson’s ConferenceMonday, April 27thGet Details & Learn More Today! | 2026 APDA Missouri Golf ClassicView Event Details | Newly Diagnosed Resources | About the American Parkinson's Disease Association Missouri Chapter | Our 2025 Impact Report highlights the meaningful progress made through education, and support over the past year. See how your involvement helped make a difference for people living with Parkinson’s disease. Click here to view the 2025 Impact Report | Services we provide: | Contact Information | APDA Center for Advanced Research atWashington University School of Medicine | Washington University School of Medicine",,in-person,true,official_directory_import,0,0,https://www.apdaparkinson.org/community/missouri/,apdamo@apdaparkinson.org,636-778-3377,APDA Missouri,resource-page,American Parkinson Disease Association,"Missouri, United States",,Missouri,,https://www.apdaparkinson.org/community/missouri/,2026-03-28T05:36:55.015Z
apda-community,APDA Community,www.apdaparkinson.org/community/new-jersey/,new-jersey-apda-information-and-referral-center-state-resource-page,APDA Information & Referral Center,Referral Center,Imported from APDA New Jersey community resources.,Welcome to the APDA New Jersey Resource Page Educational Webinars Exercise Classes on YouTube At-Home Activities,"New Jersey, United States","New Jersey, United States",United States,"Welcome to the APDA New Jersey Resource Page | Educational Webinars | Exercise Classes on YouTube | At-Home Activities | APDA Resources in New Jersey | Services we provide: | APDA Information & Referral Center | APDA Center for Advanced Parkinson Disease Research | at Rutgers-Robert Wood Johnson Medical School | Dr. Maral Mouradian, Medical Director",,in-person,true,official_directory_import,0,0,https://www.apdaparkinson.org/community/new-jersey/,apda@rwjms.rutgers.edu,,APDA New Jersey,state-resource-page,American Parkinson Disease Association,"New Jersey, United States",,New Jersey,,https://www.apdaparkinson.org/community/new-jersey/,2026-03-28T05:36:55.015Z
apda-community,APDA Community,www.apdaparkinson.org/community/new-york/,new-york-information-and-referral-centers-state-resource-page,Information & Referral Centers,Referral Center,"Long Island Optimism Walk! Saturday, October 31 APDA Symptom Tracker AppDownload it today! Resource Library","Welcome to the APDA New York Resource Page Long Island Optimism Walk! Saturday, October 31 APDA Symptom Tracker AppDownload it today! Resource Library APDA Resources in New York About APDA New York The APDA New York Information & Referral Centers work tirelessly every day to support and empower those in our community who are impacted by Parkinson’s disease (PD). We promote hope and optimism through innovative services, programs, education, and support, while also funding vital research. We are here to help you and your loved ones every step of the way. PRESS PRESS™ is a FREE eight-weekeducation and support program forthose diagnosed with Parkinson’sdisease (PD) in the last five yearsand their care partners. PD-focused session topics include:– What’s Next After Diagnosis– Medication Management– Importance of Exercise– Dealing with Physical Symptoms– Impact on Daily Coping and Relationships– Tips for Daily Living– Caring for Others, Caring for Yourself– Building Your Healthcare Team","New York, United States","New York, United States",United States,Welcome to the APDA New York Resource Page | APDA Resources in New York | About APDA New York | PRESS | Virtual PRESS | In-Person PRESS | Living Well with Parkinson’s: | Encuentro Comunitario paraPersonas con Parkinson y sus Familias | Help Our Community | Chapter Menu,,hybrid,true,official_directory_import,0,0,https://www.apdaparkinson.org/community/new-york/,vvicente@apdaparkinson.org,800-223-2732,APDA New York,state-resource-page,American Parkinson Disease Association,"New York, United States",,New York,,https://www.apdaparkinson.org/community/new-york/,2026-03-28T05:36:55.015Z
apda-community,APDA Community,www.apdaparkinson.org/community/oklahoma/,oklahoma-find-resources-and-support-groups-support-groups,Find Resources & Support Groups,Referral Center,Register Today May 28 @ 2pm ET Virtual Events Resource Library,"Welcome to the APDA Oklahoma Resource Page Register Today May 28 @ 2pm ET Virtual Events Resource Library APDA Resources in Oklahoma APDA works tirelessly every day to support and empower those in our community who are impacted by Parkinson’s disease (PD). We promote hope and optimism through innovative services, programs, education, and support, while also funding vital research. We are here to help you and your loved ones every step of the way. Services we provide: Educational programs and resources Support groups Exercise and wellness classes Information and referrals and much more Chapter Menu About APDA Oklahoma Ways to GiveDonate Donate Resources & SupportSupport GroupsAt-Home Activities Support Groups At-Home Activities Optimism Walk","Oklahoma, United States","Oklahoma, United States",United States,Welcome to the APDA Oklahoma Resource Page | APDA Resources in Oklahoma | Services we provide: | Chapter Menu | Find Resources & Support Groups | Help Our Community | Information and Referral | Parkinson's Care,,virtual,true,official_directory_import,0,0,https://www.apdaparkinson.org/community/oklahoma/,,,APDA Oklahoma,support-groups,American Parkinson Disease Association,"Oklahoma, United States",,Oklahoma,,https://www.apdaparkinson.org/community/oklahoma/,2026-03-28T05:36:55.015Z
apda-community,APDA Community,www.apdaparkinson.org/community/pennsylvania/,pennsylvania-find-resources-and-support-groups-support-groups,Find Resources & Support Groups,Referral Center,"Register Today Monday, April 7th – Hearsey, PA Virtual Events Resource Library","Welcome to the APDA Pennsylvania Resource Page Register Today Monday, April 7th – Hearsey, PA Virtual Events Resource Library APDA Resources in Pennsylvania Find Resources & Support Groups We provide local resources and support to the Parkinson’s community. Find a support group, join an art or movement class, get physical or occupational therapy, or take part in clinical trials. Discover all the resources that may be available to you brought to you by your local team at APDA. Center for Advanced Research The Pennsylvania American Parkinson Disease Association Information and Referral Center is located in Hershey, PA and funds the APDA Center for Advanced Parkinson Disease Research at University of Pittsburgh Medical Center.","Pennsylvania, United States","Pennsylvania, United States",United States,Welcome to the APDA Pennsylvania Resource Page | APDA Resources in Pennsylvania | Find Resources & Support Groups | Center for Advanced Research | University of Pittsburgh Medical Center | APDA funding supports: | Help Our Community | Chapter Menu | Contact | Services we provide:,,virtual,true,official_directory_import,0,0,https://www.apdaparkinson.org/community/pennsylvania/,apda@apdaparkinson.org,800-223-2732,APDA Pennsylvania,support-groups,American Parkinson Disease Association,"Pennsylvania, United States",,Pennsylvania,,https://www.apdaparkinson.org/community/pennsylvania/,2026-03-28T05:36:55.015Z
apda-community,APDA Community,www.apdaparkinson.org/community/rhode-island/,rhode-island-information-and-referral-center-referral-center-page,Information & Referral Center,Referral Center,"Register, Sponsor, or Donate Make an Impact with APDA Rhode Island Local Rhode Island Programs and Resources","Welcome to the Rhode Island APDA Chapter Register, Sponsor, or Donate Make an Impact with APDA Rhode Island Local Rhode Island Programs and Resources About the APDA Rhode Island Chapter The APDA Rhode Island Chapter works tirelessly every day to support and empower those in our community who are impacted by Parkinson’s disease (PD). We promote hope and optimism through innovative services, programs, education, and support, while also funding vital research. We are here to help you and your loved ones every step of the way. Services we provide: Local support groups Exercise and wellness classes Local programs and community events Educational materials and resources Support for newly diagnosed individuals Virtual events Information and referrals and much more The APDA Rhode Island Chapter also provides funding to support health and wellness initiatives across the state. Visit our Resources & Support page to learn more. Information & Referral Center If you need assistance finding a support group, exercise or wellness class, or to get physical or occupational therapy recommendations, or need other local resource referrals of this type, please contact our Information and Referral Center:","Rhode Island, United States","Rhode Island, United States",United States,Welcome to the Rhode Island APDA Chapter | About the APDA Rhode Island Chapter | Services we provide: | Information & Referral Center | Butler Hospital | Help Our Community | Chapter Menu | Information and Referral | Parkinson's Care,,virtual,true,official_directory_import,0,0,https://www.apdaparkinson.org/community/rhode-island/,laoliveira@butler.org,,APDA Rhode Island,referral-center-page,American Parkinson Disease Association,"Rhode Island, United States",,Rhode Island,,https://www.apdaparkinson.org/community/rhode-island/,2026-03-28T05:36:55.015Z
apda-community,APDA Community,www.apdaparkinson.org/community/texas/,texas-we-have-the-resources-support-and-information-you-need-no-matter-where-you-live-resource-page,"We have the resources, support, and information you need – no matter where you live.",Exercise Program,Imported from APDA Texas community resources.,"We have the resources, support, and information you need – no matter where you live. Although we do not have an APDA location in your state, we can help and support you in so many ways. So if you or a loved one has Parkinson’s disease (PD), rest assured that the American Parkinson Disease Association is here to help. We have helpful information that explains the disease itself, the symptoms, treatments, and more. We’ll even send a full packet of educational information to your home. Our Resource Library is a great place to get started. You can also sign-up to receive emails from APDA so you get the latest news, information, and invitations to great programs delivered right to your inbox. We can help you build (and be a part of) your PD community. We have webinars with PD experts, virtual fitness and movement classes, online education conferences, and much more. So many ways to learn and connect – no matter where you live. Just check our Virtual Events Calendar to see the upcoming programs. You can call our helpline at 800-223-2732, or drop us a line by emailing apda@apdaparkinson.org and we’ll do everything we can to make sure you get the support you need. (Assistance is available in English, Spanish, and Mandarin.) We encourage you to follow APDA on social media – it’s a great way to get the latest news and also connect with others who are passionate about PD. You can find us on Facebook, Instagram, LinkedIn, YouTube, and X. Always remember – APDA is here for you. More Parkinson’s Resources from APDA Virtual Events Calendar Explore free programs to join from wherever you are!","Texas, United States","Texas, United States",United States,"We have the resources, support, and information you need – no matter where you live. | Although we do not have an APDA location in your state, we can help and support you in so many ways. So if you or a loved one has Parkinson’s disease (PD), rest assured that the American Parkinson Disease Association is here to help. | More Parkinson’s Resources from APDA | Virtual Events Calendar | Smart Patients | APDA Symptom Tracker | Have a question about PD? | Exercise | Wellness | Parkinson's Care",English | Spanish,virtual,true,official_directory_import,0,0,https://www.apdaparkinson.org/national-resources-support/,apda@apdaparkinson.org,800-223-2732,APDA Texas,resource-page,American Parkinson Disease Association,"Texas, United States",,Texas,,https://www.apdaparkinson.org/community/texas/,2026-03-28T05:36:55.016Z
apda-community,APDA Community,www.apdaparkinson.org/community/vermont/,vermont-apda-vermont-state-resource-page,APDA Vermont,Referral Center,Imported from APDA Vermont community resources.,"Welcome to the APDA Vermont Resource Page Vermont Patient Aid Scholarships At-Home Activities APDA Resources in Vermont APDA works tirelessly every day to support and empower those in our community who are impacted by Parkinson’s disease (PD). We promote hope and optimism through innovative services, programs, education, and support, while also funding vital research. We are here to help you and your loved ones every step of the way.","Vermont, United States","Vermont, United States",United States,Welcome to the APDA Vermont Resource Page | Vermont Patient Aid Scholarships | At-Home Activities | APDA Resources in Vermont | Services we provide: | Help Our Community | Chapter Menu | Information and Referral | Parkinson's Care,,in-person,true,official_directory_import,0,0,https://www.apdaparkinson.org/community/vermont/,,,APDA Vermont,state-resource-page,American Parkinson Disease Association,"Vermont, United States",,Vermont,,https://www.apdaparkinson.org/community/vermont/,2026-03-28T05:36:55.016Z
apda-community,APDA Community,www.apdaparkinson.org/community/virginia/,virginia-support-groups-support-groups,Support Groups,Referral Center,Newly Diagnosed Resources and Support,"Welcome to the APDA Virginia Chapter Newly Diagnosed Resources and Support Support Groups About Us: The APDA Virginia Chapter works tirelessly to support and empower those in our community impacted by Parkinson’s disease (PD). We promote hope and optimism through innovative services, programs, education, and support, while also funding vital research. We are here to help you and your loved ones every step of your journey. Services we provide: Professional Parkinson’s Certifications/Trainings Educational Program / Webinar Recordings Support Groups Exercise and Wellness Classes Individual Educational Information and Referrals and much more!","Virginia, United States","Virginia, United States",United States,Welcome to the APDA Virginia Chapter | Support Groups | About Us: | Services we provide: | Building Community | Virginia Programs: | Good Start – Newly Diagnosed Rundown | PRESS – A Program for the Newly Diagnosed | Connecting Through Art | Help Our Community,,virtual,true,official_directory_import,0,0,https://www.apdaparkinson.org/community/virginia/,apdavirginia@apdaparkinson.org,757-495-3062,APDA Virginia,support-groups,American Parkinson Disease Association,"Virginia, United States",,Virginia,,https://www.apdaparkinson.org/community/virginia/,2026-03-28T05:36:55.016Z
apda-community,APDA Community,www.apdaparkinson.org/community/wisconsin/,wisconsin-support-groups-support-groups,Support Groups,Referral Center,Imported from APDA Wisconsin community resources.,Welcome to the APDA Wisconsin Chapter Coming Soon! Support Groups Exercise & Wellness,"Wisconsin, United States","Wisconsin, United States",United States,Welcome to the APDA Wisconsin Chapter | Coming Soon! | Support Groups | Exercise & Wellness | About the APDA Wisconsin Chapter | Services we provide: | Contact Us | APDA Wisconsin Chapter | Help our community | STAY CONNECTED,,in-person,true,official_directory_import,0,0,https://www.apdaparkinson.org/community/wisconsin/,apdawi@apdaparkinson.org,,APDA Wisconsin,support-groups,American Parkinson Disease Association,"Wisconsin, United States",,Wisconsin,,https://www.apdaparkinson.org/community/wisconsin/,2026-03-28T05:36:55.016Z
